Parameter,Importance,model_code
dropout,0.09330630621771145,LSTM_LB45_LF1_open_price_target
learning_rate,0.059257539738222384,LSTM_LB45_LF1_open_price_target
num_layers,0.004209723419533872,LSTM_LB45_LF1_open_price_target
learning_rate,0.7037862497858133,LSTM_LB60_LF1_behavior
hidden_size,0.14907272051513973,LSTM_LB60_LF1_behavior
batch_size,0.06143877689201527,LSTM_LB60_LF1_behavior
dropout,0.042696788756608484,LSTM_LB60_LF1_behavior
epochs,0.02379488577899472,LSTM_LB60_LF1_behavior
num_layers,0.019210578271428712,LSTM_LB60_LF1_behavior
epochs,0.444242385849024,LSTM_LB60_LF1_close_price_target
learning_rate,0.23113346539842472,LSTM_LB60_LF1_close_price_target
hidden_size,0.16886882932019448,LSTM_LB60_LF1_close_price_target
dropout,0.07825572685564497,LSTM_LB60_LF1_close_price_target
num_layers,0.05485986511166177,LSTM_LB60_LF1_close_price_target
batch_size,0.022639727465050153,LSTM_LB60_LF1_close_price_target
epochs,0.5657609070216882,LSTM_LB60_LF1_open_price_target
hidden_size,0.18057051586455994,LSTM_LB60_LF1_open_price_target
dropout,0.12635362378225018,LSTM_LB60_LF1_open_price_target
learning_rate,0.06685520819076622,LSTM_LB60_LF1_open_price_target
num_layers,0.035917964601095524,LSTM_LB60_LF1_open_price_target
batch_size,0.024541780539639763,LSTM_LB60_LF1_open_price_target
epochs,0.34801370723016517,LSTM_LB7_LF1_behavior
dropout,0.2777512856840898,LSTM_LB7_LF1_behavior
hidden_size,0.16858238331060213,LSTM_LB7_LF1_behavior
learning_rate,0.1679431962514548,LSTM_LB7_LF1_behavior
batch_size,0.03347043620175109,LSTM_LB7_LF1_behavior
num_layers,0.0042389913219370075,LSTM_LB7_LF1_behavior
dropout,0.6038062652512632,LSTM_LB7_LF1_close_price_target
learning_rate,0.26759116317598686,LSTM_LB7_LF1_close_price_target
hidden_size,0.0626995676134398,LSTM_LB7_LF1_close_price_target
batch_size,0.04702968272255441,LSTM_LB7_LF1_close_price_target
epochs,0.016402264658757233,LSTM_LB7_LF1_close_price_target
num_layers,0.0024710565779984413,LSTM_LB7_LF1_close_price_target
epochs,0.6327812663221958,LSTM_LB7_LF1_open_price_target
learning_rate,0.15907198569839043,LSTM_LB7_LF1_open_price_target
hidden_size,0.12093621631391524,LSTM_LB7_LF1_open_price_target
dropout,0.04011326336441751,LSTM_LB7_LF1_open_price_target
batch_size,0.026294458452165253,LSTM_LB7_LF1_open_price_target
num_layers,0.02080280984891599,LSTM_LB7_LF1_open_price_target
